"","geography_code","monthaverageCC_counts"
"1214","S01007719",40
"1215","S01007720",6.25
"1216","S01007721",21.25
"1217","S01007722",43.75
"1218","S01007723",35
"1219","S01007724",42.5
"1220","S01007725",30
"1221","S01007726",48.75
"1222","S01007727",36.25
"1223","S01007728",50
"1224","S01007729",45
"1225","S01007730",27.5
"1226","S01007731",21.25
"1227","S01007732",25
"1228","S01007733",13.75
"1229","S01007734",5
"1230","S01007735",5
"1231","S01007736",10
"1232","S01007737",15
"1233","S01007738",3.75
"1234","S01007739",8.75
"1235","S01007740",7.5
"1236","S01007741",15
"1237","S01007742",3.75
"1238","S01007743",27.5
"1239","S01007744",30
"1240","S01007745",21.25
"1241","S01007746",26.25
"1242","S01007747",18.75
"1243","S01007748",31.25
"1244","S01007749",3.75
"1245","S01007750",5
"1246","S01007751",0
"1247","S01007752",3.75
"1248","S01007753",11.25
"1249","S01007754",32.5
"1250","S01007755",22.5
"1251","S01007756",16.25
"1252","S01007757",2.5
"1253","S01007758",7.5
"1254","S01007759",11.25
"1255","S01007760",3.75
"1256","S01007761",6.25
"1257","S01007762",10
"1258","S01007763",5
"1259","S01007764",0
"1260","S01007765",2.5
"1261","S01007766",2.5
"1262","S01007767",6.25
"1263","S01007768",5
"1264","S01007769",2.5
"1265","S01007770",1.25
"1266","S01007771",1.25
"1267","S01007772",18.75
"1268","S01007773",2.5
"1269","S01007774",3.75
"1270","S01007775",1.25
"1271","S01007776",1.25
"1272","S01007777",7.5
"1273","S01007778",1.25
"1274","S01007779",7.5
"1275","S01007780",6.25
"1276","S01007781",15
"1277","S01007782",20
"1278","S01007783",18.75
"1279","S01007784",16.25
"1280","S01007785",18.75
"1281","S01007786",11.25
"1282","S01007787",13.75
"1283","S01007788",18.75
"1284","S01007789",11.25
"1285","S01007790",30
"1286","S01007791",3.75
"1287","S01007792",15
"1288","S01007793",23.75
"1289","S01007794",11.25
"1290","S01007795",11.25
"1291","S01007796",16.25
"1292","S01007797",18.75
"1293","S01007798",0
"1294","S01007799",3.75
"1295","S01007800",32.5
"1296","S01007801",26.25
"1297","S01007802",1.25
"1298","S01007803",38.75
"1299","S01007804",18.75
"1300","S01007805",15
"1301","S01007806",12.5
"1302","S01007807",5
"1303","S01007808",20
"1304","S01007809",5
"1305","S01007810",28.75
"1306","S01007811",26.25
"1307","S01007812",40
"1308","S01007813",25
"1309","S01007814",6.25
"1310","S01007815",5
"1311","S01007816",3.75
"1312","S01007817",5
"1313","S01007818",6.25
"1314","S01007819",7.5
"1315","S01007820",12.5
"1316","S01007821",5
"1317","S01007822",6.25
"1318","S01007823",5
"1319","S01007824",10
"1320","S01007825",10
"1321","S01007826",16.25
"1322","S01007827",12.5
"1323","S01007828",26.25
"1324","S01007829",8.75
"1325","S01007830",27.5
"1326","S01007831",28.75
"1327","S01007832",12.5
"1328","S01007833",5
"1329","S01007834",26.25
"1330","S01007835",5
"1331","S01007836",2.5
"1332","S01007837",1.25
"1333","S01007838",5
"1334","S01007839",5
"1335","S01007840",23.75
"1336","S01007841",16.25
"1337","S01007842",40
"1338","S01007843",21.25
"1339","S01007844",51.25
"1340","S01007845",32.5
"1341","S01007846",20
"1342","S01007847",35
"1343","S01007848",37.5
"1344","S01007849",37.5
"1345","S01007850",25
"1346","S01007851",10
"1347","S01007852",33.75
"1348","S01007853",51.25
"1349","S01007854",47.5
"1350","S01007855",32.5
"1351","S01007856",15
"1352","S01007857",18.75
"1353","S01007858",25
"1354","S01007859",17.5
"1355","S01007860",16.25
"1356","S01007861",17.5
"1357","S01007862",17.5
"1358","S01007863",26.25
"1359","S01007864",28.75
"1360","S01007865",5
"1361","S01007866",2.5
"1362","S01007867",3.75
"1363","S01007868",6.25
"1364","S01007869",1.25
"1365","S01007870",6.25
"1366","S01007871",31.25
"1367","S01007872",35
"1368","S01007873",7.5
"1369","S01007874",17.5
"1370","S01007875",6.25
"1371","S01007876",8.75
"1372","S01007877",17.5
"1373","S01007878",18.75
"1374","S01007879",22.5
"1375","S01007880",2.5
"1376","S01007881",11.25
"1377","S01007882",1.25
"1378","S01007883",8.75
"1379","S01007884",7.5
"1380","S01007885",23.75
"1381","S01007886",20
"1382","S01007887",2.5
"1383","S01007888",28.75
"1384","S01007889",8.75
"1385","S01007890",8.75
"1386","S01007891",15
"1387","S01007892",8.75
"1388","S01007893",6.25
"1389","S01007894",11.25
"1390","S01007895",7.5
"1391","S01007896",16.25
"1392","S01007897",1.25
"1393","S01007898",2.5
"1394","S01007899",2.5
"1395","S01007900",18.75
"1396","S01007901",28.75
"1397","S01007902",32.5
"1398","S01007903",18.75
"1399","S01007904",3.75
"1400","S01007905",23.75
"1401","S01007906",22.5
"1402","S01007907",10
"1403","S01007908",11.25
"1404","S01007909",10
"1405","S01007910",26.25
"1406","S01007911",16.25
"1407","S01007912",15
"1408","S01007913",27.5
"1409","S01007914",21.25
"1410","S01007915",16.25
"1411","S01007916",16.25
"1412","S01007917",23.75
"1413","S01007918",23.75
"1414","S01007919",0
"1415","S01007920",2.5
"1416","S01007921",26.25
"1417","S01007922",27.5
"1418","S01007923",8.75
"1419","S01007924",27.5
"1420","S01007925",0
"1421","S01007926",3.75
"1422","S01007927",0
"1423","S01007928",7.5
"1424","S01007929",6.25
"1425","S01007930",0
"1426","S01007931",11.25
"1427","S01007932",1.25
"1428","S01007933",10
"1429","S01007934",11.25
"1430","S01007935",26.25
"1431","S01007936",2.5
"1432","S01007937",7.5
"1433","S01007938",18.75
"1434","S01007939",28.75
"1435","S01007940",18.75
"1436","S01007941",0
"1437","S01007942",10
"1438","S01007943",11.25
"1439","S01007944",22.5
"1440","S01007945",23.75
"1441","S01007946",26.25
"1442","S01007947",11.25
"1443","S01007948",17.5
"1444","S01007949",7.5
"1445","S01007950",5
"1446","S01007951",15
"1447","S01007952",28.75
"1448","S01007953",22.5
"1449","S01007954",22.5
"1450","S01007955",22.5
"1451","S01007956",21.25
"1452","S01007957",25
"1453","S01007958",30
"1454","S01007959",5
"1455","S01007960",11.25
"1456","S01007961",5
"1457","S01007962",16.25
"1458","S01007963",60
"1459","S01007964",37.5
"1460","S01007965",18.75
"1461","S01007966",30
"1462","S01007967",21.25
"1463","S01007968",15
"1464","S01007969",15
"1465","S01007970",17.5
"1466","S01007971",31.25
"1467","S01007972",8.75
"1468","S01007973",6.25
"1469","S01007974",21.25
"1470","S01007975",12.5
"1471","S01007976",35
"1472","S01007977",6.25
"1473","S01007978",21.25
"1474","S01007979",11.25
"1475","S01007980",10
"1476","S01007981",3.75
"1477","S01007982",3.75
"1478","S01007983",31.25
"1479","S01007984",10
"1480","S01007985",32.5
"1481","S01007986",13.75
"1482","S01007987",10
"1483","S01007988",15
"1484","S01007989",17.5
"1485","S01007990",16.25
"1486","S01007991",3.75
"1487","S01007992",2.5
"1488","S01007993",5
"1489","S01007994",2.5
"1490","S01007995",2.5
"1491","S01007996",0
"1492","S01007997",5
"1493","S01007998",7.5
"1494","S01007999",18.75
"1495","S01008000",23.75
"1496","S01008001",43.75
"1497","S01008002",56.25
"1498","S01008003",16.25
"1499","S01008004",5
"1500","S01008005",8.75
"1501","S01008006",31.25
"1502","S01008007",28.75
"1503","S01008008",25
"1504","S01008009",40
"1505","S01008010",35
"1506","S01008011",36.25
"1507","S01008012",30
"1508","S01008013",17.5
"1509","S01008014",5
"1510","S01008015",36.25
"1511","S01008016",15
"1512","S01008017",3.75
"1513","S01008018",5
"1514","S01008019",2.5
"1515","S01008020",7.5
"1516","S01008021",0
"1517","S01008022",1.25
"1518","S01008023",1.25
"1519","S01008024",1.25
"1520","S01008025",3.75
"1521","S01008026",20
"1522","S01008027",7.5
"1523","S01008028",3.75
"1524","S01008029",10
"1525","S01008030",17.5
"1526","S01008031",20
"1527","S01008032",15
"1528","S01008033",3.75
"1529","S01008034",5
"1530","S01008035",3.75
"1531","S01008036",1.25
"1532","S01008037",16.25
"1533","S01008038",10
"1534","S01008039",8.75
"1535","S01008040",5
"1536","S01008041",7.5
"1537","S01008042",5
"1538","S01008043",5
"1539","S01008044",0
"1540","S01008045",2.5
"1541","S01008046",12.5
"1542","S01008047",0
"1543","S01008048",3.75
"1544","S01008049",0
"1545","S01008050",0
"1546","S01008051",3.75
"1547","S01008052",2.5
"1548","S01008053",0
"1549","S01008054",5
"1550","S01008055",0
"1551","S01008056",3.75
"1552","S01008057",3.75
"1553","S01008058",0
"1554","S01008059",2.5
"1555","S01008060",3.75
"1556","S01008061",1.25
"1557","S01008062",1.25
"1558","S01008063",2.5
"1559","S01008064",11.25
"1560","S01008065",5
"1561","S01008066",2.5
"1562","S01008067",0
"1563","S01008068",5
"1564","S01008069",5
"1565","S01008070",8.75
"1566","S01008071",3.75
"1567","S01008072",2.5
"1568","S01008073",0
"1569","S01008074",2.5
"1570","S01008075",5
"1571","S01008076",0
"1572","S01008077",2.5
"1573","S01008078",1.25
"1574","S01008079",5
"1575","S01008080",2.5
"1576","S01008081",3.75
"1577","S01008082",3.75
"1578","S01008083",0
"1579","S01008084",10
"1580","S01008085",2.5
"1581","S01008086",3.75
"1582","S01008087",3.75
"1583","S01008088",6.25
"1584","S01008089",5
"1585","S01008090",1.25
"1586","S01008091",0
"1587","S01008092",3.75
"1588","S01008093",3.75
"1589","S01008094",3.75
"1590","S01008095",1.25
"1591","S01008096",0
"1592","S01008097",2.5
"1593","S01008098",6.25
"1594","S01008099",3.75
"1595","S01008100",1.25
"1596","S01008101",7.5
"1597","S01008102",3.75
"1598","S01008103",11.25
"1599","S01008104",21.25
"1600","S01008105",20
"1601","S01008106",13.75
"1602","S01008107",11.25
"1603","S01008108",1.25
"1604","S01008109",2.5
"1605","S01008110",2.5
"1606","S01008111",2.5
"1607","S01008112",0
"1608","S01008113",7.5
"1609","S01008114",2.5
"1610","S01008115",5
"1611","S01008116",6.25
"1612","S01008117",6.25
"1613","S01008118",10
"1614","S01008119",10
"1615","S01008120",6.25
"1616","S01008121",0
"1617","S01008122",0
"1618","S01008123",1.25
"1619","S01008124",6.25
"1620","S01008125",6.25
"1621","S01008126",2.5
"1622","S01008127",0
"1623","S01008128",6.25
"1624","S01008129",21.25
"1625","S01008130",26.25
"1626","S01008131",25
"1627","S01008132",7.5
"1628","S01008133",15
"1629","S01008134",17.5
"1630","S01008135",25
"1631","S01008136",13.75
"1632","S01008137",45
"1633","S01008138",30
"1634","S01008139",45
"1635","S01008140",20
"1636","S01008141",5
"1637","S01008142",2.5
"1638","S01008143",20
"1639","S01008144",8.75
"1640","S01008145",7.5
"1641","S01008146",6.25
"1642","S01008147",18.75
"1643","S01008148",13.75
"1644","S01008149",13.75
"1645","S01008150",27.5
"1646","S01008151",26.25
"1647","S01008152",15
"1648","S01008153",3.75
"1649","S01008154",7.5
"1650","S01008155",7.5
"1651","S01008156",10
"1652","S01008157",11.25
"1653","S01008158",3.75
"1654","S01008159",32.5
"1655","S01008160",18.75
"1656","S01008161",6.25
"1657","S01008162",6.25
"1658","S01008163",18.75
"1659","S01008164",20
"1660","S01008165",5
"1661","S01008166",5
"1662","S01008167",21.25
"1663","S01008168",21.25
"1664","S01008169",16.25
"1665","S01008170",5
"1666","S01008171",17.5
"1667","S01008172",8.75
"1668","S01008173",5
"1669","S01008174",10
"1670","S01008175",15
"1671","S01008176",12.5
"1672","S01008177",13.75
"1673","S01008178",3.75
"1674","S01008179",0
"1675","S01008180",3.75
"1676","S01008181",6.25
"1677","S01008182",32.5
"1678","S01008183",13.75
"1679","S01008184",17.5
"1680","S01008185",35
"1681","S01008186",23.75
"1682","S01008187",27.5
"1683","S01008188",20
"1684","S01008189",15
"1685","S01008190",17.5
"1686","S01008191",10
"1687","S01008192",20
"1688","S01008193",8.75
"1689","S01008194",15
"1690","S01008195",31.25
"1691","S01008196",31.25
"1692","S01008197",11.25
"1693","S01008198",16.25
"1694","S01008199",23.75
"1695","S01008200",20
"1696","S01008201",31.25
"1697","S01008202",11.25
"1698","S01008203",25
"1699","S01008204",21.25
"1700","S01008205",10
"1701","S01008206",11.25
"1702","S01008207",21.25
"1703","S01008208",13.75
"1704","S01008209",5
"1705","S01008210",25
"1706","S01008211",12.5
"1707","S01008212",6.25
"1708","S01008213",3.75
"1709","S01008214",16.25
"1710","S01008215",10
"1711","S01008216",1.25
"1712","S01008217",5
"1713","S01008218",15
"1714","S01008219",15
"1715","S01008220",23.75
"1716","S01008221",45
"1717","S01008222",21.25
"1718","S01008223",7.5
"1719","S01008224",8.75
"1720","S01008225",7.5
"1721","S01008226",27.5
"1722","S01008227",26.25
"1723","S01008228",7.5
"1724","S01008229",16.25
"1725","S01008230",6.25
"1726","S01008231",5
"1727","S01008232",10
"1728","S01008233",3.75
"1729","S01008234",8.75
"1730","S01008235",10
"1731","S01008236",17.5
"1732","S01008237",23.75
"1733","S01008238",16.25
"1734","S01008239",23.75
"1735","S01008240",1.25
"1736","S01008241",0
"1737","S01008242",11.25
"1738","S01008243",3.75
"1739","S01008244",5
"1740","S01008245",5
"1741","S01008246",2.5
"1742","S01008247",8.75
"1743","S01008248",11.25
"1744","S01008249",10
"1745","S01008250",6.25
"1746","S01008251",3.75
"1747","S01008252",5
"1748","S01008253",10
"1749","S01008254",23.75
"1750","S01008255",13.75
"1751","S01008256",32.5
"1752","S01008257",8.75
"1753","S01008258",8.75
"1754","S01008259",17.5
"1755","S01008260",11.25
"1756","S01008261",16.25
"1757","S01008262",5
"1758","S01008263",3.75
"1759","S01008264",7.5
"1760","S01008265",3.75
"1761","S01008266",0
"1762","S01008267",5
"1763","S01008268",0
"1764","S01008269",5
"1765","S01008270",1.25
"1766","S01008271",8.75
"1767","S01008272",13.75
"1768","S01008273",8.75
"1769","S01008274",12.5
"1770","S01008275",5
"1771","S01008276",0
"1772","S01008277",3.75
"1773","S01008278",6.25
"1774","S01008279",6.25
"1775","S01008280",6.25
"1776","S01008281",7.5
"1777","S01008282",3.75
"1778","S01008283",5
"1779","S01008284",25
"1780","S01008285",15
"1781","S01008286",10
"1782","S01008287",7.5
"1783","S01008288",12.5
"1784","S01008289",13.75
"1785","S01008290",23.75
"1786","S01008291",3.75
"1787","S01008292",17.5
"1788","S01008293",1.25
"1789","S01008294",3.75
"1790","S01008295",8.75
"1791","S01008296",8.75
"1792","S01008297",8.75
"1793","S01008298",10
"1794","S01008299",21.25
"1795","S01008300",8.75
"1796","S01008301",3.75
"1797","S01008302",5
"1798","S01008303",8.75
"1799","S01008304",1.25
"1800","S01008305",3.75
"1801","S01008306",2.5
"1802","S01008307",5
"1803","S01008308",1.25
"1804","S01008309",32.5
"1805","S01008310",6.25
"1806","S01008311",6.25
"1807","S01008312",3.75
"1808","S01008313",27.5
"1809","S01008314",18.75
"1810","S01008315",21.25
"1811","S01008316",20
"1812","S01008317",11.25
"1813","S01008318",7.5
"1814","S01008319",8.75
"1815","S01008320",6.25
"1816","S01008321",1.25
"1817","S01008322",21.25
"1818","S01008323",13.75
"1819","S01008324",10
"1820","S01008325",15
"1821","S01008326",16.25
"1822","S01008327",13.75
"1823","S01008328",13.75
"1824","S01008329",2.5
"1825","S01008330",5
"1826","S01008331",3.75
"1827","S01008332",5
"1828","S01008333",2.5
"1829","S01008334",6.25
"1830","S01008335",10
"1831","S01008336",6.25
"1832","S01008337",6.25
"1833","S01008338",0
"1834","S01008339",2.5
"1835","S01008340",3.75
"1836","S01008341",0
"1837","S01008342",7.5
"1838","S01008343",1.25
"1839","S01008344",1.25
"1840","S01008345",0
"1841","S01008346",3.75
"1842","S01008347",5
"1843","S01008348",2.5
"1844","S01008349",1.25
"1845","S01008350",0
"1846","S01008351",2.5
"1847","S01008352",2.5
"1848","S01008353",0
"1849","S01008354",5
"1850","S01008355",5
"1851","S01008356",5
"1852","S01008357",6.25
"1853","S01008358",5
"1854","S01008359",5
"1855","S01008360",1.25
"1856","S01008361",5
"1857","S01008362",3.75
"1858","S01008363",1.25
"1859","S01008364",2.5
"1860","S01008365",1.25
"1861","S01008366",6.25
"1862","S01008367",12.5
"1863","S01008368",1.25
"1864","S01008369",6.25
"1865","S01008370",1.25
"1866","S01008371",3.75
"1867","S01008372",3.75
"1868","S01008373",5
"1869","S01008374",0
"1870","S01008375",3.75
"1871","S01008376",0
"1872","S01008377",2.5
"1873","S01008378",5
"1874","S01008379",1.25
"1875","S01008380",0
"1876","S01008381",0
"1877","S01008382",0
"1878","S01008383",0
"1879","S01008384",5
"1880","S01008385",1.25
"1881","S01008386",3.75
"1882","S01008387",1.25
"1883","S01008388",5
"1884","S01008389",0
"1885","S01008390",2.5
"1886","S01008391",3.75
"1887","S01008392",1.25
"1888","S01008393",0
"1889","S01008394",1.25
"1890","S01008395",3.75
"1891","S01008396",3.75
"1892","S01008397",3.75
"1893","S01008398",2.5
"1894","S01008399",1.25
"1895","S01008400",1.25
"1896","S01008401",5
"1897","S01008402",0
"1898","S01008403",0
"1899","S01008404",0
"1900","S01008405",0
"1901","S01008406",3.75
"1902","S01008407",2.5
"1903","S01008408",2.5
"1904","S01008409",7.5
"1905","S01008410",3.75
"1906","S01008411",5
"1907","S01008412",2.5
"1908","S01008413",5
"1909","S01008414",1.25
"1910","S01008415",8.75
"1911","S01008416",23.75
"1912","S01008417",2.5
"1913","S01008418",0
"1914","S01008419",2.5
"1915","S01008420",1.25
"1916","S01008421",6.25
"1917","S01008422",0
"1918","S01008423",3.75
"1919","S01008424",5
"1920","S01008425",5
"1921","S01008426",5
"1922","S01008427",2.5
"1923","S01008428",2.5
"1924","S01008429",2.5
"1925","S01008430",6.25
"1926","S01008431",1.25
"1927","S01008432",0
"1928","S01008433",5
"1929","S01008434",3.75
"1930","S01008435",1.25
"1931","S01008436",2.5
"1932","S01008437",0
"1933","S01008438",3.75
"1934","S01008439",0
"1935","S01008440",5
"1936","S01008441",0
"1937","S01008442",1.25
"1938","S01008443",0
"1939","S01008444",0
"1940","S01008445",3.75
"1941","S01008446",2.5
"1942","S01008447",2.5
"1943","S01008448",1.25
"1944","S01008449",30
"1945","S01008450",10
"1946","S01008451",23.75
"1947","S01008452",23.75
"1948","S01008453",6.25
"1949","S01008454",27.5
"1950","S01008455",31.25
"1951","S01008456",42.5
"1952","S01008457",11.25
"1953","S01008458",12.5
"1954","S01008459",42.5
"1955","S01008460",36.25
"1956","S01008461",38.75
"1957","S01008462",22.5
"1958","S01008463",32.5
"1959","S01008464",6.25
"1960","S01008465",5
"1961","S01008466",5
"1962","S01008467",6.25
"1963","S01008468",8.75
"1964","S01008469",5
"1965","S01008470",13.75
"1966","S01008471",18.75
"1967","S01008472",8.75
"1968","S01008473",10
"1969","S01008474",11.25
"1970","S01008475",5
"1971","S01008476",8.75
"1972","S01008477",8.75
"1973","S01008478",10
"1974","S01008479",8.75
"1975","S01008480",7.5
"1976","S01008481",13.75
"1977","S01008482",8.75
"1978","S01008483",15
"1979","S01008484",8.75
"1980","S01008485",5
"1981","S01008486",7.5
"1982","S01008487",3.75
"1983","S01008488",8.75
"1984","S01008489",5
"1985","S01008490",11.25
"1986","S01008491",7.5
"1987","S01008492",17.5
"1988","S01008493",10
"1989","S01008494",15
"1990","S01008495",10
"1991","S01008496",15
"1992","S01008497",13.75
"1993","S01008498",15
"1994","S01008499",17.5
"1995","S01008500",13.75
"1996","S01008501",5
"1997","S01008502",5
"1998","S01008503",5
"1999","S01008504",5
"2000","S01008505",0
"2001","S01008506",1.25
"2002","S01008507",5
"2003","S01008508",2.5
"2004","S01008509",1.25
"2005","S01008510",2.5
"2006","S01008511",1.25
"2007","S01008512",0
"2008","S01008513",0
"2009","S01008514",2.5
"2010","S01008515",0
"2011","S01008516",7.5
"2012","S01008517",5
"2013","S01008518",0
"2014","S01008519",5
"2015","S01008520",0
"2016","S01008521",2.5
"2017","S01008522",0
"2018","S01008523",3.75
"2019","S01008524",21.25
"2020","S01008525",11.25
"2021","S01008526",1.25
"2022","S01008527",7.5
"2023","S01008528",3.75
"2024","S01008529",5
"2025","S01008530",28.75
"2026","S01008531",15
"2027","S01008532",3.75
"2028","S01008533",1.25
"2029","S01008534",3.75
"2030","S01008535",1.25
"2031","S01008536",3.75
"2032","S01008537",0
"2033","S01008538",1.25
"2034","S01008539",5
"2035","S01008540",5
"2036","S01008541",3.75
"2037","S01008542",3.75
"2038","S01008543",1.25
"2039","S01008544",0
"2040","S01008545",0
"2041","S01008546",0
"2042","S01008547",5
"2043","S01008548",2.5
"2044","S01008549",3.75
"2045","S01008550",5
"2046","S01008551",3.75
"2047","S01008552",5
"2048","S01008553",10
"2049","S01008554",21.25
"2050","S01008555",20
"2051","S01008556",11.25
"2052","S01008557",23.75
"2053","S01008558",12.5
"2054","S01008559",6.25
"2055","S01008560",7.5
"2056","S01008561",6.25
"2057","S01008562",15
"2058","S01008563",17.5
"2059","S01008564",6.25
"2060","S01008565",12.5
"2061","S01008566",15
"2062","S01008567",8.75
"2063","S01008568",5
"2064","S01008569",40
"2065","S01008570",31.25
"2066","S01008571",7.5
"2067","S01008572",5
"2068","S01008573",5
"2069","S01008574",2.5
"2070","S01008575",2.5
"2071","S01008576",2.5
"2072","S01008577",5
"2073","S01008578",1.25
"2074","S01008579",3.75
"2075","S01008580",0
"2076","S01008581",17.5
"2077","S01008582",13.75
"2078","S01008583",12.5
"2079","S01008584",11.25
"2080","S01008585",6.25
"2081","S01008586",6.25
"2082","S01008587",5
"2083","S01008588",5
"2084","S01008589",5
"2085","S01008590",3.75
"2086","S01008591",5
"2087","S01008592",5
"2088","S01008593",0
"2089","S01008594",5
"2090","S01008595",8.75
"2091","S01008596",12.5
"2092","S01008597",1.25
"2093","S01008598",2.5
"2094","S01008599",3.75
"2095","S01008600",6.25
"2096","S01008601",3.75
"2097","S01008602",0
"2098","S01008603",11.25
"2099","S01008604",3.75
"2100","S01008605",0
"2101","S01008606",2.5
"2102","S01008607",1.25
"2103","S01008608",3.75
"2104","S01008609",0
"2105","S01008610",3.75
"2106","S01008611",5
"2107","S01008612",5
"2108","S01008613",5
"2109","S01008614",3.75
"2110","S01008615",1.25
"2111","S01008616",0
"2112","S01008617",2.5
"2113","S01008618",3.75
"2114","S01008619",5
"2115","S01008620",2.5
"2116","S01008621",5
"2117","S01008622",0
"2118","S01008623",0
"2119","S01008624",2.5
"2120","S01008625",1.25
"2121","S01008626",1.25
"2122","S01008627",1.25
"2123","S01008628",2.5
"2124","S01008629",1.25
"2125","S01008630",3.75
"2126","S01008631",7.5
"2127","S01008632",6.25
"2128","S01008633",2.5
"2129","S01008634",1.25
"2130","S01008635",2.5
"2131","S01008636",5
"2132","S01008637",0
"2133","S01008638",7.5
"2134","S01008639",15
"2135","S01008640",2.5
"2136","S01008641",3.75
"2137","S01008642",5
"2138","S01008643",3.75
"2139","S01008644",10
"2140","S01008645",2.5
"2141","S01008646",5
"2142","S01008647",5
"2143","S01008648",6.25
"2144","S01008649",10
"2145","S01008650",10
"2146","S01008651",16.25
"2147","S01008652",18.75
"2148","S01008653",8.75
"2149","S01008654",15
"2150","S01008655",6.25
"2151","S01008656",23.75
"2152","S01008657",7.5
"2153","S01008658",20
"2154","S01008659",7.5
"2155","S01008660",8.75
"2156","S01008661",10
"2157","S01008662",8.75
"2158","S01008663",11.25
"2159","S01008664",5
"2160","S01008665",17.5
"2161","S01008666",7.5
"2162","S01008667",5
"2163","S01008668",5
"2164","S01008669",1.25
"2165","S01008670",2.5
"2166","S01008671",6.25
"2167","S01008672",5
"2168","S01008673",15
"2169","S01008674",7.5
"2170","S01008675",7.5
"2171","S01008676",11.25
"2172","S01008677",8.75
"2173","S01008678",18.75
"2174","S01008679",25
"2175","S01008680",7.5
"2176","S01008681",5
"2177","S01008682",10
"2178","S01008683",26.25
"2179","S01008684",27.5
"2180","S01008685",21.25
"2181","S01008686",13.75
"2182","S01008687",10
"2183","S01008688",17.5
"2184","S01008689",10
"2185","S01008690",2.5
"2186","S01008691",12.5
"2187","S01008692",16.25
"2188","S01008693",1.25
"2189","S01008694",8.75
"2190","S01008695",7.5
"2191","S01008696",5
"2192","S01008697",0
"2193","S01008698",1.25
"2194","S01008699",10
"2195","S01008700",1.25
"2196","S01008701",16.25
"2197","S01008702",8.75
"2198","S01008703",37.5
"2199","S01008704",17.5
"2200","S01008705",13.75
"2201","S01008706",13.75
"2202","S01008707",22.5
"2203","S01008708",33.75
"2204","S01008709",10
"2205","S01008710",11.25
"2206","S01008711",17.5
"2207","S01008712",37.5
"2208","S01008713",22.5
"2209","S01008714",10
"2210","S01008715",18.75
"2211","S01008716",8.75
"2212","S01008717",0
"2213","S01008718",2.5
"2214","S01008719",10
"2215","S01008720",11.25
"2216","S01008721",5
"2217","S01008722",10
"2218","S01008723",6.25
"2219","S01008724",1.25
"2220","S01008725",5
"2221","S01008726",0
"2222","S01008727",5
"2223","S01008728",5
"2224","S01008729",2.5
"2225","S01008730",12.5
"2226","S01008731",3.75
"2227","S01008732",8.75
"2228","S01008733",10
"2229","S01008734",2.5
"2230","S01008735",1.25
"2231","S01008736",2.5
"2232","S01008737",2.5
"2233","S01008738",1.25
"2234","S01008739",5
"2235","S01008740",3.75
"2236","S01008741",2.5
"2237","S01008742",2.5
"2238","S01008743",13.75
"2239","S01008744",8.75
"2240","S01008745",5
"2241","S01008746",20
"2242","S01008747",0
"2243","S01008748",2.5
"2244","S01008749",2.5
"2245","S01008750",6.25
"2246","S01008751",6.25
"2247","S01008752",23.75
"2248","S01008753",8.75
"2249","S01008754",10
"2250","S01008755",18.75
"2251","S01008756",17.5
"2252","S01008757",25
"2253","S01008758",23.75
"2254","S01008759",10
"2255","S01008760",28.75
"2256","S01008761",6.25
"2257","S01008762",5
"2258","S01008763",3.75
"2259","S01008764",6.25
"2260","S01008765",8.75
"2261","S01008766",12.5
"2262","S01008767",7.5
"2263","S01008768",15
"2264","S01008769",10
"2265","S01008770",5
"2266","S01008771",8.75
"2267","S01008772",8.75
"2268","S01008773",12.5
"2269","S01008774",22.5
"2270","S01008775",6.25
"2271","S01008776",26.25
"2272","S01008777",41.25
"2273","S01008778",18.75
"2274","S01008779",5
"2275","S01008780",8.75
"2276","S01008781",35
"2277","S01008782",12.5
"2278","S01008783",2.5
"2279","S01008784",12.5
"2280","S01008785",17.5
"2281","S01008786",22.5
"2282","S01008787",27.5
"2283","S01008788",11.25
"2284","S01008789",7.5
"2285","S01008790",16.25
"2286","S01008791",12.5
"2287","S01008792",30
"2288","S01008793",8.75
"2289","S01008794",11.25
"2290","S01008795",13.75
"2291","S01008796",13.75
"2292","S01008797",10
"2293","S01008798",12.5
"2294","S01008799",8.75
"2295","S01008800",13.75
"2296","S01008801",12.5
"2297","S01008802",12.5
"2298","S01008803",26.25
"2299","S01008804",13.75
"2300","S01008805",5
"2301","S01008806",13.75
"2302","S01008807",8.75
"2303","S01008808",8.75
"2304","S01008809",5
"2305","S01008810",5
"2306","S01008811",5
"2307","S01008812",5
"2308","S01008813",18.75
"2309","S01008814",12.5
"2310","S01008815",21.25
"2311","S01008816",11.25
"2312","S01008817",18.75
"2313","S01008818",5
"2314","S01008819",5
"2315","S01008820",26.25
"2316","S01008821",6.25
"2317","S01008822",1.25
"2318","S01008823",3.75
"2319","S01008824",6.25
"2320","S01008825",0
"2321","S01008826",8.75
"2322","S01008827",0
"2323","S01008828",5
"2324","S01008829",5
"2325","S01008830",6.25
"2326","S01008831",3.75
"2327","S01008832",0
"2328","S01008833",8.75
"2329","S01008834",0
"2330","S01008835",5
"2331","S01008836",8.75
"2332","S01008837",11.25
"2333","S01008838",6.25
"2334","S01008839",7.5
"2335","S01008840",10
"2336","S01008841",5
"2337","S01008842",7.5
"2338","S01008843",11.25
"2339","S01008844",3.75
"2340","S01008845",5
"2341","S01008846",7.5
"2342","S01008847",2.5
"2343","S01008848",5
"2344","S01008849",1.25
"2345","S01008850",6.25
