"","LSOA21CD","claimants_2022"
"193","E01000205",17.9166666666667
"194","E01000206",10
"195","E01000207",27.9166666666667
"196","E01000208",21.6666666666667
"197","E01000209",13.3333333333333
"198","E01000210",20.4166666666667
"199","E01000211",88.75
"200","E01000212",20.4166666666667
"201","E01000213",10
"202","E01000214",33.75
"203","E01000215",42.5
"204","E01000216",42.5
"205","E01000217",46.6666666666667
"206","E01000218",47.0833333333333
"207","E01000219",85.4166666666667
"208","E01000220",67.9166666666667
"209","E01000221",82.0833333333333
"210","E01000222",87.0833333333333
"211","E01000223",97.0833333333333
"212","E01000224",70.8333333333333
"213","E01000225",30
"214","E01000226",81.6666666666667
"215","E01000227",25
"216","E01000228",30.4166666666667
"217","E01000229",49.1666666666667
"218","E01000230",34.5833333333333
"219","E01000231",50.8333333333333
"220","E01000232",37.9166666666667
"221","E01000233",39.5833333333333
"222","E01000234",35.4166666666667
"223","E01000235",86.25
"224","E01000236",58.3333333333333
"225","E01000237",78.75
"226","E01000238",59.5833333333333
"227","E01000239",87.5
"228","E01000240",57.0833333333333
"229","E01000241",52.0833333333333
"230","E01000242",32.5
"231","E01000243",88.3333333333333
"232","E01000244",77.5
"233","E01000245",108.333333333333
"234","E01000246",24.1666666666667
"235","E01000247",42.5
"236","E01000248",22.9166666666667
"237","E01000249",17.9166666666667
"238","E01000250",59.5833333333333
"239","E01000251",65.4166666666667
"240","E01000252",35.4166666666667
"241","E01000253",27.0833333333333
"242","E01000254",12.9166666666667
"243","E01000255",33.3333333333333
"244","E01000256",36.25
"245","E01000257",64.1666666666667
"246","E01000258",33.3333333333333
"247","E01000259",57.5
"248","E01000260",71.25
"249","E01000261",19.1666666666667
"250","E01000263",13.3333333333333
"251","E01000264",77.0833333333333
"252","E01000265",65.8333333333333
"253","E01000266",15.8333333333333
"254","E01000267",24.1666666666667
"255","E01000268",111.25
"256","E01000269",27.9166666666667
"257","E01000270",22.0833333333333
"258","E01000271",22.0833333333333
"259","E01000272",11.6666666666667
"260","E01000273",43.3333333333333
"261","E01000274",61.6666666666667
"262","E01000275",27.0833333333333
"263","E01000276",10
"264","E01000277",70.4166666666667
"265","E01000278",13.3333333333333
"266","E01000279",7.5
"267","E01000280",10.4166666666667
"268","E01000281",39.5833333333333
"269","E01000282",31.6666666666667
"270","E01000283",7.5
"271","E01000284",52.0833333333333
"272","E01000285",41.25
"273","E01000286",55.8333333333333
"274","E01000287",36.6666666666667
"275","E01000288",25
"276","E01000289",62.5
"277","E01000290",34.1666666666667
"278","E01000291",50
"279","E01000292",26.25
"280","E01000293",28.75
"281","E01000294",47.9166666666667
"282","E01000295",31.6666666666667
"283","E01000296",60.8333333333333
"284","E01000297",38.75
"285","E01000298",61.25
"286","E01000299",82.5
"287","E01000300",42.9166666666667
"288","E01000301",19.5833333333333
"289","E01000302",78.75
"290","E01000303",18.75
"291","E01000304",42.0833333333333
"292","E01000305",73.3333333333333
"293","E01000306",51.6666666666667
"294","E01000307",57.9166666666667
"295","E01000308",62.5
"296","E01000309",65
"297","E01000310",106.666666666667
"298","E01000311",45
"299","E01000312",70.4166666666667
"300","E01000313",87.9166666666667
"301","E01000314",70.4166666666667
"302","E01000315",76.25
"303","E01000316",74.5833333333333
"304","E01000317",43.3333333333333
"305","E01000318",35.4166666666667
"306","E01000319",25.4166666666667
"307","E01000320",54.1666666666667
"308","E01000321",80.4166666666667
"309","E01000322",50
"310","E01000323",90
"311","E01000324",38.3333333333333
"312","E01000325",10.8333333333333
"313","E01000326",29.5833333333333
"314","E01000327",16.25
"315","E01000328",15.8333333333333
"316","E01000329",29.5833333333333
"317","E01000330",41.25
"318","E01000331",37.5
"319","E01000332",24.5833333333333
"320","E01000333",52.5
"321","E01000334",31.6666666666667
"322","E01000335",93.3333333333333
"323","E01000336",85.8333333333333
"324","E01000337",56.25
"325","E01000338",50
"326","E01000339",20.4166666666667
"327","E01000340",17.5
