"","SOA_LABEL","SOA2001","X0.15yrs","X16.39yrs","X40.64yrs","X65.","Total","Working"
"277","Stormont_1","95GG41S1",329,385,688,546,1948,1073
"278","Stormont_2","95GG41S2",333,358,564,354,1608,921
"279","Stormont_3","95GG41S3",418,562,680,423,2083,1242
"280","Stranmillis_1","95GG42S1",364,528,655,353,1901,1184
"281","Stranmillis_2","95GG42S2",100,1545,138,107,1890,1683
"282","Stranmillis_3","95GG42S3",244,1602,364,174,2384,1966
"283","Stranmillis_4","95GG42S4",366,940,651,321,2279,1592
"284","Sydenham_1","95GG43S1",289,577,455,311,1632,1032
"285","Sydenham_2","95GG43S2",287,573,517,330,1707,1090
"286","Sydenham_3","95GG43S3",282,678,486,259,1704,1163
"287","The Mount_1","95GG44S1",654,1343,803,285,3086,2147
"288","The Mount_2","95GG44S2",659,1245,764,340,3008,2009
"289","Upper Malone_1","95GG45S1",247,351,548,489,1634,898
"290","Upper Malone_2","95GG45S2",372,529,499,219,1620,1029
"291","Upper Malone_3","95GG45S3",338,527,494,295,1654,1021
"292","Upper Springfield_1","95GG46S1",365,556,543,215,1679,1099
"293","Upper Springfield_2","95GG46S2",421,565,498,282,1767,1064
"294","Upper Springfield_3","95GG46S3",397,535,503,217,1652,1038
"295","Water Works_1","95GG47S1",646,955,735,264,2600,1690
"296","Water Works_2","95GG47S2",384,564,530,233,1711,1094
"297","Water Works_3","95GG47S3",499,694,604,217,2013,1297
"298","Whiterock_1","95GG48S1",339,522,440,207,1507,961
"299","Whiterock_2","95GG48S2",677,832,635,250,2394,1467
"300","Whiterock_3","95GG48S3",432,543,490,176,1640,1032
"301","Windsor_1","95GG49S1",213,825,441,235,1714,1266
"302","Windsor_2","95GG49S2",150,1642,242,132,2166,1884
"303","Windsor_3","95GG49S3",227,1568,201,78,2074,1769
"304","Windsor_4","95GG49S4",155,1538,245,134,2071,1782
"305","Woodstock_1","95GG50S1",296,652,482,140,1571,1135
"306","Woodstock_2","95GG50S2",412,921,620,248,2200,1540
"307","Woodstock_3","95GG50S3",370,830,481,226,1907,1311
"308","Woodvale_1","95GG51S1",264,422,374,219,1279,796
"309","Woodvale_2","95GG51S2",235,404,416,259,1315,821
"310","Woodvale_3","95GG51S3",246,428,454,289,1417,882
"311","Blackhead","95HH01W1",356,446,715,539,2056,1161
"312","Bluefield_1","95HH02S1",240,332,442,261,1275,774
"313","Bluefield_2","95HH02S2",302,460,669,176,1606,1128
"314","Boneybefore","95HH03W1",232,325,583,516,1655,907
"315","Burleigh Hill_1","95HH04S1",247,452,638,267,1605,1091
"316","Burleigh Hill_2","95HH04S2",156,309,522,287,1275,832
"317","Clipperstown","95HH05W1",533,716,625,247,2121,1341
"318","Eden_1","95HH06S1",483,708,929,192,2313,1638
"319","Eden_2","95HH06S2",602,755,939,285,2581,1694
"320","Gortalee","95HH07W1",295,545,509,260,1609,1054
"321","Greenisland","95HH08W1",466,820,925,523,2734,1745
"322","Killycrot","95HH09W1",381,777,930,668,2757,1708
"323","Knockagh","95HH10W1",538,687,981,432,2639,1669
"324","Love Lane","95HH11W1",272,416,413,401,1501,828
"325","Milebush","95HH12W1",264,384,498,324,1469,881
"326","Northland","95HH13W1",393,516,401,148,1458,917
"327","Sunnylands","95HH14W1",264,421,462,353,1500,883
"328","Victoria_Carrickfergus","95HH15W1",407,779,909,431,2527,1689
"329","Whitehead","95HH16W1",357,501,766,494,2117,1266
"330","Woodburn","95HH17W1",439,679,914,391,2423,1593
"331","Ballyhanwood_1","95II01S1",254,454,577,342,1627,1031
"332","Ballyhanwood_2","95II01S2",209,331,633,398,1571,964
"333","Beechill_1","95II02S1",343,477,657,253,1729,1133
"334","Beechill_2","95II02S2",339,503,643,229,1715,1147
"335","Beechill_3","95II02S3",222,449,555,327,1553,1004
"336","Cairnshill_1","95II03S1",468,697,757,129,2051,1454
"337","Cairnshill_2","95II03S2",296,590,572,320,1778,1162
"338","Carrowreagh_1","95II04S1",626,1124,1017,352,3119,2141
"339","Carrowreagh_2","95II04S2",449,726,659,323,2157,1385
"340","Carryduff East_1","95II05S1",282,496,570,283,1630,1065
"341","Carryduff East_2","95II05S2",441,522,567,416,1946,1089
"342","Carryduff West_1","95II06S1",320,432,560,239,1550,991
"343","Carryduff West_2","95II06S2",405,616,596,292,1910,1213
"344","Cregagh","95II07W1",459,711,660,369,2198,1370
"345","Downshire","95II08W1",472,776,828,398,2474,1604
"346","Dundonald_1","95II09S1",333,573,757,367,2031,1331
"347","Dundonald_2","95II09S2",267,430,530,196,1424,961
"348","Enler","95II10W1",516,798,814,444,2573,1613
"349","Galwally","95II11W1",447,672,923,500,2542,1595
"350","Gilnahirk","95II12W1",468,629,872,525,2494,1501
"351","Graham's Bridge","95II13W1",503,764,890,559,2716,1654
"352","Hillfoot","95II14W1",429,659,844,611,2542,1502
"353","Knockbracken_1","95II15S1",432,595,686,173,1886,1281
"354","Knockbracken_2","95II15S2",265,344,461,421,1490,804
"355","Lisnasharragh","95II16W1",432,615,696,399,2143,1312
"356","Lower Braniel","95II17W1",386,722,854,516,2478,1576
"357","Minnowburn","95II18W1",395,706,630,479,2209,1335
"358","Moneyreagh_1","95II19S1",316,483,736,311,1847,1220
"359","Moneyreagh_2","95II19S2",308,497,730,370,1905,1227
"360","Newtownbreda","95II20W1",504,845,862,494,2706,1708
"361","Tullycarnet","95II21W1",587,779,683,364,2413,1462
"362","Upper Braniel","95II22W1",429,647,785,467,2328,1432
"363","Wynchurch","95II23W1",435,693,786,382,2296,1479
"364","Agivey","95JJ01W1",469,630,960,453,2513,1591
"365","Atlantic","95JJ02W1",394,598,820,535,2347,1418
"366","Ballysally_1","95JJ03S1",402,449,426,163,1440,875
"367","Ballysally_2","95JJ03S2",293,344,389,96,1121,732
"368","Castlerock_1","95JJ04S1",309,388,547,307,1550,934
"369","Castlerock_2","95JJ04S2",239,404,562,369,1575,967
"370","Central_Coleraine","95JJ05W1",279,809,575,445,2109,1385
"371","Churchland","95JJ06W1",561,807,807,353,2528,1614
"372","Cross Glebe","95JJ07W1",682,910,802,416,2809,1711
"373","Dundooan_1","95JJ08S1",219,302,526,365,1411,827
"374","Dundooan_2","95JJ08S2",353,711,582,250,1896,1293
"375","Dunluce","95JJ09W1",282,425,733,575,2016,1159
"376","Garvagh","95JJ10W1",679,793,907,482,2860,1699
"377","Hopefield_1","95JJ11S1",339,431,686,364,1819,1116
"378","Hopefield_2","95JJ11S2",381,481,701,392,1955,1182
"379","Kilrea","95JJ12W1",683,887,864,416,2850,1751
"380","Knocklynn_1","95JJ13S1",528,651,808,228,2215,1459
"381","Knocklynn_2","95JJ13S2",274,429,641,331,1674,1069
"382","Macosquin","95JJ14W1",503,565,868,427,2363,1433
"383","Mount Sandel","95JJ15W1",300,560,553,560,1973,1113
"384","Portstewart","95JJ16W1",247,451,533,440,1670,983
"385","Ringsend","95JJ17W1",539,647,874,441,2501,1521
"386","Royal Portrush","95JJ18W1",289,466,719,489,1964,1186
"387","Strand_1_Coleraine","95JJ19S1",228,533,468,456,1685,1001
"388","Strand_2_Coleraine","95JJ19S2",130,771,275,221,1396,1045
"389","The Cuts_1","95JJ20S1",510,660,781,314,2265,1441
"390","The Cuts_2","95JJ20S2",278,460,708,376,1821,1167
"391","University","95JJ21W1",368,1078,762,430,2638,1840
"392","Waterside","95JJ22W1",493,600,937,634,2664,1537
"393","Ardboe","95KK01W1",646,831,822,352,2651,1653
"394","Coagh","95KK02W1",417,630,630,380,2057,1260
"395","Dunnamore","95KK03W1",665,791,708,329,2492,1498
"396","Gortalowry","95KK04W1",631,1011,830,282,2754,1841
"397","Killycolpy","95KK05W1",644,943,817,336,2741,1761
"398","Killymoon","95KK06W1",351,626,548,297,1821,1173
"399","Lissan","95KK07W1",432,618,702,361,2113,1320
"400","Moneymore","95KK08W1",692,965,793,383,2834,1759
"401","Newbuildings","95KK09W1",517,862,721,412,2512,1583
"402","Oaklands","95KK10W1",536,717,715,326,2293,1431
"403","Oldtown","95KK11W1",561,754,771,337,2423,1525
"404","Pomeroy","95KK12W1",537,834,714,268,2353,1548
"405","Sandholes","95KK13W1",324,505,595,351,1775,1100
"406","Stewartstown","95KK14W1",386,669,657,318,2030,1326
"407","The Loop","95KK15W1",786,1023,943,369,3120,1965
"408","Tullagh","95KK16W1",441,781,697,441,2360,1478
"409","Aghagallon_1","95LL01S1",591,730,890,333,2544,1620
"410","Aghagallon_2","95LL01S2",633,844,844,273,2594,1688
"411","Annagh_1","95LL02S1",389,554,548,233,1723,1101
"412","Annagh_2","95LL02S2",330,812,510,226,1878,1322
"413","Ballybay","95LL03W1",722,1023,777,360,2882,1800
"414","Ballyoran","95LL04W1",711,962,914,481,3069,1877
"415","Bleary_1","95LL05S1",527,663,873,363,2426,1536
"416","Bleary_2","95LL05S2",390,517,663,284,1855,1181
"417","Brownstown_1","95LL06S1",381,566,539,279,1766,1106
"418","Brownstown_2","95LL06S2",325,564,504,432,1825,1068
"419","Church","95LL07W1",492,798,630,414,2334,1428
"420","Corcrain_1","95LL08S1",413,600,521,160,1694,1121
"421","Corcrain_2","95LL08S2",438,747,582,211,1979,1330
"422","Court_1","95LL09S1",323,490,499,208,1519,988
"423","Court_2","95LL09S2",347,479,520,457,1802,998
"424","Derrytrasna_1","95LL10S1",738,1022,1079,339,3178,2101
"425","Derrytrasna_2","95LL10S2",582,811,815,277,2486,1627
"426","Donaghcloney_1","95LL11S1",311,478,535,246,1571,1014
"427","Donaghcloney_2","95LL11S2",645,864,874,287,2670,1738
"428","Drumgask_1","95LL12S1",897,1157,816,249,3120,1974
"429","Drumgask_2","95LL12S2",365,432,348,136,1281,780
"430","Drumgor_1","95LL13S1",368,488,430,170,1455,917
"431","Drumgor_2","95LL13S2",413,478,424,195,1509,901
"432","Drumnamoe_1","95LL14S1",257,411,386,202,1257,798
"433","Drumnamoe_2","95LL14S2",234,396,422,232,1284,818
"434","Edenderry_1","95LL15S1",297,485,506,349,1637,991
"435","Edenderry_2","95LL15S2",244,453,517,415,1628,969
"436","Kernan_1","95LL16S1",770,1111,960,499,3339,2070
"437","Kernan_2","95LL16S2",927,1412,1062,344,3746,2475
"438","Killycomain","95LL17W1",492,709,831,562,2595,1541
"439","Knocknashane_1","95LL18S1",428,602,622,445,2097,1224
"440","Knocknashane_2","95LL18S2",271,464,448,302,1486,913
"441","Magheralin_1","95LL19S1",537,672,875,355,2438,1546
"442","Magheralin_2","95LL19S2",714,982,1055,412,3163,2037
"443","Mourneview","95LL20W1",443,759,778,401,2381,1537
"444","Parklake","95LL21W1",1043,1481,1283,658,4465,2764
"445","Taghnevan","95LL22W1",985,1454,1043,425,3908,2498
"446","Tavanagh","95LL23W1",548,760,707,400,2416,1468
"447","The Birches_1","95LL24S1",515,738,682,265,2199,1419
"448","The Birches_2","95LL24S2",421,583,508,308,1820,1091
"449","Waringstown_1","95LL25S1",670,998,825,401,2894,1823
"450","Waringstown_2","95LL25S2",364,539,693,318,1914,1232
"451","Woodville_1","95LL26S1",249,536,510,205,1500,1046
"452","Woodville_2","95LL26S2",433,731,790,267,2221,1521
"453","Altnagelvin_1","95MM01S1",321,454,450,258,1484,905
"454","Altnagelvin_2","95MM01S2",454,623,590,170,1837,1213
"455","Altnagelvin_3","95MM01S3",310,497,578,237,1622,1075
"456","Ballynashallog_1","95MM02S1",229,375,541,462,1606,915
"457","Ballynashallog_2","95MM02S2",258,432,629,278,1597,1061
"458","Banagher","95MM03W1",833,1092,1175,454,3554,2267
"459","Beechwood","95MM04W1",402,618,730,408,2159,1349
"460","Brandywell","95MM05W1",490,738,791,365,2384,1529
"461","Carn Hill_1","95MM06S1",358,457,416,228,1460,874
"462","Carn Hill_2","95MM06S2",291,387,319,236,1232,705
"463","Caw","95MM07W1",512,812,881,507,2712,1693
"464","Clondermot_1","95MM08S1",275,416,406,201,1298,822
"465","Clondermot_2","95MM08S2",271,476,555,373,1676,1032
"466","Claudy_1","95MM09S1",358,461,517,241,1577,978
"467","Claudy_2","95MM09S2",462,533,677,286,1957,1209
"468","Creggan Central_1","95MM10S1",438,549,382,112,1481,931
"469","Creggan Central_2","95MM10S2",275,448,427,138,1287,874
"470","Creggan South","95MM11W1",796,863,835,258,2752,1698
"471","Crevagh_1","95MM12S1",479,612,634,212,1938,1247
"472","Crevagh_2","95MM12S2",367,468,343,80,1258,811
"473","Crevagh_3","95MM12S3",710,965,819,113,2608,1785
"474","Culmore_1","95MM13S1",239,342,424,195,1200,766
"475","Culmore_2","95MM13S2",375,466,372,145,1358,838
"476","Culmore_3","95MM13S3",415,563,438,135,1551,1001
"477","Culmore_4","95MM13S4",685,786,880,313,2664,1666
"478","Culmore_5","95MM13S5",697,642,847,154,2340,1489
"479","Ebrington_1","95MM14S1",140,226,229,292,888,456
"480","Ebrington_2","95MM14S2",328,621,527,278,1754,1148
"481","Eglinton_1","95MM15S1",323,387,639,416,1766,1027
"482","Eglinton_2","95MM15S2",641,763,962,252,2618,1725
"483","Enagh_1_Derry","95MM16S1",662,953,711,206,2531,1663
"484","Enagh_2_Derry","95MM16S2",821,1038,1147,415,3422,2186
"485","Foyle Springs_1","95MM17S1",379,609,773,203,1964,1382
"486","Foyle Springs_2","95MM17S2",358,542,593,291,1784,1135
"487","Holly Mount_1","95MM18S1",553,808,772,287,2421,1581
"488","Holly Mount_2","95MM18S2",809,1025,1047,254,3135,2072
"489","Kilfennan_1","95MM19S1",242,410,522,342,1516,932
"490","Kilfennan_2","95MM19S2",322,557,499,127,1505,1056
"491","Lisnagelvin_1","95MM20S1",283,405,549,340,1576,953
"492","Lisnagelvin_2","95MM20S2",298,448,547,375,1668,995
"493","New Buildings_1","95MM21S1",365,491,511,237,1604,1002
"494","New Buildings_2","95MM21S2",331,446,615,330,1723,1062
"495","Pennyburn_1","95MM22S1",234,342,372,291,1238,713
"496","Pennyburn_2","95MM22S2",161,275,406,373,1215,681
"497","Rosemount","95MM23W1",427,1017,840,342,2627,1858
"498","Shantallow East","95MM24W1",613,797,716,415,2542,1514
"499","Shantallow West_1","95MM25S1",338,442,356,105,1240,797
"500","Shantallow West_2","95MM25S2",437,537,303,127,1404,840
"501","Shantallow West_3","95MM25S3",669,808,531,87,2094,1338
"502","Shantallow West_4","95MM25S4",581,740,709,137,2166,1448
"503","Springtown_1","95MM26S1",436,551,589,171,1747,1140
"504","Springtown_2","95MM26S2",209,366,513,215,1304,880
"505","Strand_1_Derry","95MM27S1",192,805,609,264,1870,1414
"506","Strand_2_Derry","95MM27S2",187,972,427,282,1868,1399
"507","The Diamond","95MM28W1",359,798,819,316,2292,1617
"508","Victoria_Derry","95MM29W1",820,1351,1105,353,3629,2456
"509","Westland","95MM30W1",448,650,697,353,2148,1347
"510","Ardglass_1","95NN01S1",293,441,428,316,1478,869
"511","Ardglass_2","95NN01S2",391,501,530,294,1716,1031
"512","Audley's Acre","95NN02W1",394,595,734,417,2139,1328
"513","Ballymaglave_1","95NN03S1",239,325,421,243,1227,745
"514","Ballymaglave_2","95NN03S2",308,432,532,332,1603,963
"515","Ballymote","95NN04W1",842,1124,799,314,3080,1924
"516","Ballynahinch East","95NN05W1",529,771,746,435,2481,1517
"517","Castlewellan_1","95NN06S1",249,352,344,176,1121,696
"518","Castlewellan_2","95NN06S2",625,784,756,329,2494,1540
"519","Cathedral_1","95NN07S1",384,586,537,153,1660,1123
"520","Cathedral_2","95NN07S2",357,507,427,261,1551,933
"521","Crossgar_1","95NN08S1",256,379,561,250,1446,940
"522","Crossgar_2","95NN08S2",421,573,616,296,1906,1189
"523","Derryboy_1","95NN09S1",341,536,644,265,1785,1179
"524","Derryboy_2","95NN09S2",232,342,456,354,1385,799
"525","Donard_1","95NN10S1",216,311,492,466,1484,802
"526","Donard_2","95NN10S2",341,432,558,275,1605,989
"527","Drumaness_1","95NN11S1",437,601,546,215,1799,1147
"528","Drumaness_2","95NN11S2",526,638,789,279,2232,1427
"529","Dundrum","95NN12W1",701,859,964,467,2991,1823
"530","Dunmore","95NN13W1",648,782,1084,605,3118,1865
"531","Killough_1","95NN14S1",391,537,598,269,1795,1135
"532","Killough_2","95NN14S2",267,356,432,185,1240,788
"533","Killyleagh","95NN15W1",601,988,1008,528,3125,1996
"534","Kilmore_1","95NN16S1",297,380,575,407,1660,956
"535","Kilmore_2","95NN16S2",295,456,583,301,1636,1040
"536","Murlough","95NN17W1",552,765,710,412,2439,1475
"537","Quoile_1","95NN18S1",256,404,404,218,1283,809
"538","Quoile_2","95NN18S2",298,413,536,289,1536,949
"539","Saintfield_1","95NN19S1",321,469,579,280,1649,1048
"540","Saintfield_2","95NN19S2",354,572,640,342,1908,1212
"541","Seaforde","95NN20W1",653,906,1085,495,3138,1990
"542","Shimna","95NN21W1",502,794,930,590,2816,1724
"543","Strangford","95NN22W1",602,791,952,527,2872,1743
"544","Tollymore_1","95NN23S1",422,556,519,193,1690,1075
"545","Tollymore_2","95NN23S2",384,573,621,378,1955,1193
"546","Altmore","95OO01W1",695,816,830,406,2746,1645
"547","Augher","95OO02W1",514,745,753,298,2310,1498
"548","Aughnacloy","95OO03W1",667,931,889,399,2885,1819
"549","Ballygawley","95OO04W1",663,802,798,357,2620,1600
"550","Ballysaggart","95OO05W1",797,1191,789,315,3092,1980
"551","Benburb","95OO06W1",754,1005,938,385,3083,1944
"552","Caledon","95OO07W1",586,880,788,386,2640,1668
"553","Castlecaulfield","95OO08W1",644,862,897,427,2830,1759
"554","Clogher","95OO09W1",542,734,676,382,2334,1410
"555","Coalisland North","95OO10W1",905,1262,979,459,3604,2240
"556","Coalisland South","95OO11W1",657,891,761,290,2599,1652
"557","Coalisland West and Newmills","95OO12W1",789,904,887,427,3007,1791
"558","Coolhill","95OO13W1",725,1216,895,342,3178,2111
"559","Donaghmore","95OO14W1",590,783,859,370,2601,1641
"560","Drumglass","95OO15W1",614,857,721,262,2454,1578
"561","Fivemiletown","95OO16W1",452,676,697,379,2204,1373
"562","Killyman","95OO17W1",705,931,911,432,2980,1843
"563","Killymeal","95OO18W1",675,1087,934,408,3104,2021
"564","Moy","95OO19W1",776,1081,1025,388,3269,2105
"565","Moygashel","95OO20W1",484,656,672,410,2222,1328
"566","Mullaghmore","95OO21W1",510,908,761,373,2552,1669
"567","Washing Bay","95OO22W1",743,1131,1040,351,3264,2170
"568","Ballinamallard","95PP01W1",563,714,906,392,2574,1619
"569","Belcoo and Garrison","95PP02W1",510,797,943,517,2766,1739
"570","Belleek and Boa","95PP03W1",566,814,851,471,2702,1665
"571","Boho Cleenish and Letterbreen","95PP04W1",740,1043,1158,552,3494,2202
"572","Brookeborough","95PP05W1",569,738,803,476,2586,1541
"573","Castlecoole_1","95PP06S1",500,682,664,243,2090,1347
"574","Castlecoole_2","95PP06S2",326,442,665,343,1775,1106
"575","Derrygonnelly","95PP07W1",605,765,981,533,2883,1745
"576","Derrylin","95PP08W1",627,881,879,442,2829,1760
"577","Devenish","95PP09W1",300,504,461,336,1601,965
"578","Donagh","95PP10W1",518,661,797,402,2378,1458
"579","Erne","95PP11W1",506,722,827,448,2503,1549
"580","Florence Court and Kinawley","95PP12W1",662,776,874,488,2800,1650
"581","Irvinestown","95PP13W1",598,712,761,401,2472,1473
"582","Kesh Ederney and Lack_1","95PP14S1",376,480,554,248,1658,1034
"583","Kesh Ederney and Lack_2","95PP14S2",432,658,724,402,2216,1382
"584","Lisbellaw","95PP15W1",709,878,1020,443,3050,1898
"585","Lisnarrick","95PP16W1",353,493,754,496,2097,1248
"586","Lisnaskea","95PP17W1",571,802,778,463,2614,1580
"587","Maguires Bridge","95PP18W1",693,1041,1061,458,3253,2102
"588","Newtownbutler","95PP19W1",598,714,825,365,2503,1540
"589","Portora","95PP20W1",640,1034,997,511,3182,2031
"590","Rosslea","95PP21W1",494,629,682,368,2173,1311
"591","Rossorry","95PP22W1",475,653,830,511,2468,1482
"592","Tempo","95PP23W1",621,799,963,465,2848,1762
"593","Antiville","95QQ01W1",330,411,439,318,1498,850
"594","Ballycarry","95QQ02W1",578,810,937,439,2765,1748
"595","Ballyloran","95QQ03W1",217,310,282,193,1003,593
"596","Blackcave","95QQ04W1",331,427,545,281,1583,971
"597","Carncastle","95QQ05W1",463,630,1129,602,2824,1759
"598","Carnlough","95QQ06W1",414,589,709,372,2084,1298
"599","Central_Larne","95QQ07W1",202,473,660,475,1809,1132
"600","Craigy Hill","95QQ08W1",224,349,489,352,1414,838
"601","Gardenmore","95QQ09W1",268,411,603,629,1912,1015
"602","Glenarm","95QQ10W1",349,497,677,341,1863,1173
"603","Glynn","95QQ11W1",344,515,775,361,1995,1290
"604","Harbour","95QQ12W1",282,507,618,442,1850,1126
"605","Island Magee","95QQ13W1",440,656,957,511,2564,1613
"606","Kilwaughter_1","95QQ14S1",1004,1504,1276,260,4043,2779
"607","Kilwaughter_2","95QQ14S2",322,422,659,346,1749,1081
"608","Town Parks","95QQ15W1",237,409,513,336,1495,922
"609","Aghanloo_1","95RR01S1",640,807,855,247,2549,1662
"610","Aghanloo_2","95RR01S2",416,562,713,273,1964,1275
"611","Ballykelly","95RR02W1",325,529,608,330,1792,1137
"612","Coolessan","95RR03W1",291,447,454,200,1392,901
"613","Dungiven","95RR04W1",444,701,633,268,2047,1335
"614","Enagh_1_Limavady","95RR05S1",223,347,480,203,1254,828
"615","Enagh_2_Limavady","95RR05S2",283,356,396,192,1227,752
"616","Feeny","95RR06W1",491,799,712,304,2306,1511
"617","Forest","95RR07W1",513,759,856,354,2482,1615
"618","Glack","95RR08W1",446,565,814,324,2149,1379
"619","Gresteel_1","95RR09S1",473,670,720,280,2143,1390
"620","Gresteel_2","95RR09S2",505,847,481,79,1911,1327
"621","Greystone_Limavady","95RR10W1",250,381,404,228,1263,785
"622","Magilligan","95RR11W1",344,695,839,609,2487,1534
"623","Rathbrady","95RR12W1",216,341,516,368,1441,857
"624","Roeside","95RR13W1",222,370,492,369,1454,863
"625","The Highlands","95RR14W1",506,624,657,274,2061,1281
"626","Upper Glenshane","95RR15W1",661,871,752,281,2565,1623
"627","Ballinderry_1","95SS01S1",348,657,911,409,2326,1569
"628","Ballinderry_2","95SS01S2",671,847,1086,331,2934,1932
"629","Ballymacash_1","95SS02S1",460,594,660,491,2204,1253
"630","Ballymacash_2","95SS02S2",415,619,858,346,2238,1477
"631","Ballymacbrennan_1","95SS03S1",275,392,588,351,1606,980
"632","Ballymacbrennan_2","95SS03S2",353,456,672,418,1898,1127
"633","Ballymacoss_1","95SS04S1",632,796,855,247,2531,1652
"634","Ballymacoss_2","95SS04S2",627,1030,619,229,2505,1649
"635","Ballymacoss_3","95SS04S3",949,1588,1260,323,4120,2848
"636","Blaris_1","95SS05S1",244,462,496,335,1538,959
"637","Blaris_2","95SS05S2",297,504,667,383,1851,1171
"638","Collin Glen_1","95SS06S1",432,602,473,95,1602,1075
"639","Collin Glen_2","95SS06S2",755,851,556,86,2249,1408
"640","Collin Glen_3","95SS06S3",585,688,493,121,1888,1182
"641","Derryaghy_1","95SS07S1",1488,1999,1075,95,4657,3074
"642","Derryaghy_2","95SS07S2",459,611,520,55,1646,1132
"643","Derryaghy_3","95SS07S3",914,1280,1337,751,4282,2617
"644","Dromara_1","95SS08S1",364,413,785,345,1907,1198
"645","Dromara_2","95SS08S2",629,726,941,437,2733,1667
"646","Drumbo_1","95SS09S1",318,482,624,355,1780,1107
"647","Drumbo_2","95SS09S2",328,413,595,353,1689,1008
"648","Dunmurry_1","95SS10S1",423,762,688,352,2225,1450
"649","Dunmurry_2","95SS10S2",369,759,843,247,2218,1602
"650","Glenavy_1","95SS11S1",839,981,1081,316,3218,2063
"651","Glenavy_2","95SS11S2",663,854,966,375,2859,1821
"652","Harmony Hill","95SS12W1",495,726,1006,736,2964,1733
"653","Hilden_1","95SS13S1",294,531,502,258,1584,1032
"654","Hilden_2","95SS13S2",243,431,444,225,1342,874
"655","Hillhall_1","95SS14S1",281,437,465,275,1458,902
"656","Hillhall_2","95SS14S2",402,528,523,311,1763,1050
"657","Hillsborough_1","95SS15S1",304,426,702,412,1843,1127
"658","Hillsborough_2","95SS15S2",406,436,743,530,2115,1179
"659","Kilwee_1","95SS16S1",262,491,541,283,1576,1031
"660","Kilwee_2","95SS16S2",344,504,525,236,1608,1028
"661","Knockmore_1","95SS17S1",690,1113,858,449,3110,1971
"662","Knockmore_2","95SS17S2",264,485,477,251,1477,962
"663","Lagan Valley_1","95SS18S1",310,483,401,220,1415,885
"664","Lagan Valley_2","95SS18S2",288,423,454,487,1653,878
"665","Lambeg_1","95SS19S1",222,432,481,210,1345,913
"666","Lambeg_2","95SS19S2",339,490,412,210,1451,902
"667","Lisnagarvey","95SS20W1",360,594,812,794,2560,1406
"668","Maghaberry_1","95SS21S1",640,887,889,280,2696,1776
"669","Maghaberry_2","95SS21S2",506,713,881,404,2504,1594
"670","Magheralave_1","95SS22S1",361,586,403,208,1558,989
"671","Magheralave_2","95SS22S2",344,527,631,475,1976,1157
"672","Maze_1","95SS23S1",470,570,813,455,2307,1382
"673","Maze_2","95SS23S2",345,462,597,253,1658,1060
"674","Moira_1","95SS24S1",624,831,1038,485,2978,1869
"675","Moira_2","95SS24S2",443,546,820,387,2195,1365
"676","Old Warren","95SS25W1",776,954,721,344,2795,1675
"677","Poleglass_1","95SS26S1",578,730,486,163,1957,1216
"678","Poleglass_2","95SS26S2",403,565,563,223,1755,1129
"679","Seymour Hill","95SS27W1",454,731,849,532,2566,1580
"680","Tonagh","95SS28W1",530,863,785,422,2598,1646
"681","Twinbrook_1","95SS29S1",332,426,318,162,1237,743
"682","Twinbrook_2","95SS29S2",319,425,371,213,1328,796
"683","Wallace Park_1","95SS30S1",165,767,275,189,1394,1040
"684","Wallace Park_2","95SS30S2",448,511,732,589,2279,1242
"685","Ballymaguigan","95TT01W1",668,929,897,454,2947,1825
"686","Bellaghy","95TT02W1",665,915,804,367,2751,1719
"687","Castledawson_1","95TT03S1",364,564,477,211,1617,1042
"688","Castledawson_2","95TT03S2",448,532,579,231,1790,1111
"689","Draperstown","95TT04W1",832,1023,926,398,3179,1949
"690","Glebe_1_Magherafelt","95TT05S1",415,595,621,269,1900,1216
"691","Glebe_2_Magherafelt","95TT05S2",302,526,416,183,1427,942
"692","Gulladuff","95TT06W1",704,908,913,390,2915,1821
"693","Knockcloghrim","95TT07W1",622,824,987,434,2866,1810
"694","Lecumpher","95TT08W1",617,935,959,365,2875,1893
"695","Lower Glenshane_1","95TT09S1",336,482,455,234,1507,937
"696","Lower Glenshane_2","95TT09S2",340,434,497,219,1491,932
"697","Maghera","95TT10W1",658,1046,767,387,2858,1813
"698","Swatragh_1","95TT11S1",452,598,542,291,1883,1140
"699","Swatragh_2","95TT11S2",466,547,468,214,1695,1015
"700","Tobermore","95TT12W1",631,821,856,420,2729,1678
"701","Town Parks East_1","95TT13S1",341,526,523,173,1563,1049
"702","Town Parks East_2","95TT13S2",305,490,399,193,1387,889
"703","Town Parks West","95TT14W1",463,671,706,349,2188,1376
"704","Upperlands","95TT15W1",585,766,809,396,2556,1575
"705","Valley","95TT16W1",593,898,846,392,2729,1744
"706","Dalriada","95UU06W1",271,407,509,312,1500,917
"707","Glenariff","95UU09W1",345,477,591,239,1652,1068
"708","Knocklayd","95UU14W1",421,556,579,296,1852,1135
"709","Armoy_&_Moss-side and Moyarget","95UU99C1",451,594,744,300,2089,1338
"710","Ballylough_&_Bushmills","95UU99C2",342,438,628,399,1806,1065
"711","Bonamargy and Rathlin_&_Glenshesk","95UU99C3",307,452,603,484,1846,1055
"712","Carnmoon_&_Dunseverick","95UU99C4",363,479,681,343,1866,1160
"713","Glenaan_&_Glendun","95UU99C5",403,643,821,507,2374,1464
"714","Glentaisie_&_Kinbane","95UU99C6",484,653,788,390,2316,1442
