"","SOA_LABEL","SOA2001","X0.15yrs","X16.39yrs","X40.64yrs","X65.","Total","Working"
"857","Drumragh","95YY09W1",299,641,806,490,2236,1447
"858","Fairy Water","95YY10W1",387,607,784,379,2157,1391
"859","Fintona","95YY11W1",407,624,682,350,2063,1306
"860","Gortin","95YY12W1",695,930,947,439,3011,1877
"861","Gortrush_1","95YY13S1",353,545,443,172,1513,988
"862","Gortrush_2","95YY13S2",245,391,447,256,1339,838
"863","Killyclogher_1","95YY14S1",362,555,545,145,1607,1100
"864","Killyclogher_2","95YY14S2",409,548,495,137,1590,1044
"865","Lisanelly_1","95YY15S1",48,94,124,115,381,218
"866","Lisanelly_2","95YY15S2",435,605,465,125,1631,1071
"867","Newtownsaville","95YY16W1",537,746,811,362,2456,1557
"868","Owenkillew","95YY17W1",566,763,771,312,2411,1533
"869","Sixmilecross","95YY18W1",603,720,770,295,2389,1491
"870","Strule","95YY19W1",276,422,444,300,1442,866
"871","Termon","95YY20W1",542,828,725,357,2452,1553
"872","Trillick","95YY21W1",576,752,779,356,2463,1531
"873","Artigarvan","95ZZ01W1",585,875,977,437,2873,1851
"874","Ballycolman","95ZZ02W1",352,529,555,282,1718,1084
"875","Castlederg","95ZZ03W1",374,653,649,454,2131,1303
"876","Clare","95ZZ04W1",528,808,858,467,2660,1665
"877","Dunnamanagh","95ZZ05W1",482,680,748,321,2231,1428
"878","East","95ZZ06W1",315,503,534,307,1659,1037
"879","Finn","95ZZ07W1",677,940,919,382,2919,1860
"880","Glenderg","95ZZ08W1",602,833,831,421,2688,1665
"881","Newtownstewart","95ZZ09W1",433,671,743,399,2246,1414
"882","North","95ZZ10W1",844,1044,1112,442,3441,2155
"883","Plumbridge","95ZZ11W1",439,650,733,367,2189,1383
"884","Sion Mills","95ZZ12W1",451,649,761,399,2260,1410
"885","Slievekirk","95ZZ13W1",527,715,841,365,2448,1556
"886","South_1","95ZZ14S1",471,626,551,269,1916,1176
"887","South_2","95ZZ14S2",233,387,464,230,1314,851
"888","Victoria Bridge","95ZZ15W1",459,673,727,421,2279,1399
"889","West_1","95ZZ16S1",542,655,613,155,1966,1269
"890","West_2","95ZZ16S2",223,337,434,347,1341,771
