"","overall_imd_score","Data_Zone"
"1",11.5907487396229,"S01006506"
"2",10.7996252877283,"S01006507"
"3",7.47973570050506,"S01006508"
"4",12.994317220003,"S01006509"
"5",14.8017054590835,"S01006510"
"6",5.41041126163297,"S01006511"
"7",7.47140704008096,"S01006512"
"8",5.77269755702259,"S01006513"
"9",3.66652377527919,"S01006514"
"10",5.02710152957276,"S01006515"
"11",6.57327649188856,"S01006516"
"12",7.18315352936664,"S01006517"
"13",3.86917476235336,"S01006518"
"14",5.5078262584585,"S01006519"
"15",4.55025847820003,"S01006520"
"16",4.44473666855124,"S01006521"
"17",3.4422596063601,"S01006522"
"18",4.47509113813041,"S01006523"
"19",13.653287499383,"S01006524"
"20",5.84860608416828,"S01006525"
"21",22.3186232623103,"S01006526"
"22",26.9455945354343,"S01006527"
"23",15.1675644405266,"S01006528"
"24",15.4789933370353,"S01006529"
"25",25.0288184612116,"S01006530"
"26",31.0556821050141,"S01006531"
"27",6.46674065048404,"S01006532"
"28",3.29109036875873,"S01006533"
"29",3.01337099924924,"S01006534"
"30",3.60820204734598,"S01006535"
"31",7.67195579198843,"S01006536"
"32",3.89684281323847,"S01006537"
"33",4.69903132603646,"S01006538"
"34",3.63613691464441,"S01006539"
"35",4.59940282876372,"S01006540"
"36",4.33494386081693,"S01006541"
"37",3.53412164372106,"S01006542"
"38",3.4991362442437,"S01006543"
"39",2.14204801929766,"S01006544"
"40",4.17928879567671,"S01006545"
"41",1.82331189820027,"S01006546"
"42",15.4000513010006,"S01006547"
"43",4.71132267544998,"S01006548"
"44",3.13256328188421,"S01006549"
"45",3.48325227340583,"S01006550"
"46",32.5247833171946,"S01006551"
"47",6.02301935799101,"S01006552"
"48",9.04753791594173,"S01006553"
"49",14.7608380566863,"S01006554"
"50",31.083547258622,"S01006555"
"51",24.2724778557058,"S01006556"
"52",32.9737751802151,"S01006557"
"53",3.24576508099339,"S01006558"
"54",1.30954438851559,"S01006559"
"55",1.77881401069765,"S01006560"
"56",1.18824129123653,"S01006561"
"57",11.4585418816185,"S01006562"
"58",10.0888215291983,"S01006563"
"59",17.5968380350949,"S01006564"
"60",16.08970689926,"S01006565"
"61",7.00363765122373,"S01006566"
"62",21.6240071032068,"S01006567"
"63",6.62404456006833,"S01006568"
"64",8.89490700026817,"S01006569"
"65",1.49070482408621,"S01006570"
"66",4.87215285082358,"S01006571"
"67",2.23065525530866,"S01006572"
"68",1.19116944686686,"S01006573"
"69",2.7405680298481,"S01006574"
"70",1.57355767788434,"S01006575"
"71",4.45114956276399,"S01006576"
"72",3.66449996521959,"S01006577"
"73",8.3035297096286,"S01006578"
"74",4.87663282883184,"S01006579"
"75",5.2543675046278,"S01006580"
"76",1.4036389471436,"S01006581"
"77",14.7776660132362,"S01006582"
"78",9.15457794037567,"S01006583"
"79",5.04921490541515,"S01006584"
"80",23.5305956495848,"S01006585"
"81",18.1819317143634,"S01006586"
"82",31.5523188620957,"S01006587"
"83",18.0370558508132,"S01006588"
"84",17.1813766015866,"S01006589"
"85",21.1710088818798,"S01006590"
"86",11.9492050996914,"S01006591"
"87",2.42645191597397,"S01006592"
"88",4.12151732317783,"S01006593"
"89",4.96590230252097,"S01006594"
"90",5.92137662239453,"S01006595"
"91",2.65178118183925,"S01006596"
"92",15.7820952957439,"S01006597"
"93",3.17321165380807,"S01006598"
"94",19.7625375873425,"S01006599"
"95",5.20418023728423,"S01006600"
"96",10.1634052136852,"S01006601"
"97",2.91858061595666,"S01006602"
"98",34.0930714278498,"S01006603"
"99",18.7614232213979,"S01006604"
"100",29.8025267909633,"S01006605"
"101",13.7182565278631,"S01006606"
"102",18.3207132932273,"S01006607"
"103",8.1147278759949,"S01006608"
"104",19.089795764234,"S01006609"
"105",23.2755165858497,"S01006610"
"106",19.7636725597148,"S01006611"
"107",12.2487351511736,"S01006612"
"108",3.6171043669577,"S01006613"
"109",4.75557090105755,"S01006614"
"110",5.41083499917879,"S01006615"
"111",4.99431240238853,"S01006616"
"112",8.21709978659805,"S01006617"
"113",3.78894431990979,"S01006618"
"114",8.23663278283572,"S01006619"
"115",9.9611322876452,"S01006620"
"116",8.11119639542192,"S01006621"
"117",6.10507023331915,"S01006622"
"118",24.8559586089479,"S01006623"
"119",26.752283313334,"S01006624"
"120",18.6051701693462,"S01006625"
"121",35.2112634923944,"S01006626"
"122",36.2899037450882,"S01006627"
"123",25.7103522442479,"S01006628"
"124",38.4107640182036,"S01006629"
"125",33.3508309441832,"S01006630"
"126",36.7093564420982,"S01006631"
"127",35.4116981916885,"S01006632"
"128",46.7747478953052,"S01006633"
"129",53.6582786214011,"S01006634"
"130",32.4662649589591,"S01006635"
"131",44.4895209026112,"S01006636"
"132",22.8868227557361,"S01006637"
"133",30.8706438089301,"S01006638"
"134",30.2649504605746,"S01006639"
"135",6.4958082332285,"S01006640"
"136",16.7116063917007,"S01006641"
"137",16.4961354613095,"S01006642"
"138",8.48378698681552,"S01006643"
"139",12.8379191311322,"S01006644"
"140",39.5686102381171,"S01006645"
"141",14.8997924302805,"S01006646"
"142",19.7304063241409,"S01006647"
"143",16.7531447719765,"S01006648"
"144",24.3357244566913,"S01006649"
"145",21.8314258236964,"S01006650"
"146",26.216399160686,"S01006651"
"147",8.28023152874287,"S01006652"
"148",8.31528171753262,"S01006653"
"149",36.9393504797945,"S01006654"
"150",16.1481532707938,"S01006655"
"151",17.3093122100635,"S01006656"
"152",22.1289707180195,"S01006657"
"153",25.3873102677623,"S01006658"
"154",5.19618469944769,"S01006659"
"155",23.6917789264867,"S01006660"
"156",10.6485296220993,"S01006661"
"157",22.7270542793098,"S01006662"
"158",3.31983033792754,"S01006663"
"159",9.17548931035618,"S01006664"
"160",8.61168627908683,"S01006665"
"161",40.1460350811528,"S01006666"
"162",49.4204448851515,"S01006667"
"163",12.6305129378195,"S01006668"
"164",21.1541582886579,"S01006669"
"165",14.3871189616522,"S01006670"
"166",5.71119733782466,"S01006671"
"167",25.2034828893918,"S01006672"
"168",23.5644394789634,"S01006673"
"169",38.9711312858689,"S01006674"
"170",32.1085926193911,"S01006675"
"171",38.4842958950148,"S01006676"
"172",44.5033097962536,"S01006677"
"173",31.197973096396,"S01006678"
"174",7.38793059225441,"S01006679"
