"","overall_imd_score","SOA2001"
"1",15.6773725045948,"95AA01S1"
"2",7.52312862959497,"95AA01S2"
"3",10.8175022947204,"95AA01S3"
"4",18.7466854566083,"95AA02W1"
"5",26.920892833713,"95AA03W1"
"6",12.9096632828813,"95AA04W1"
"7",12.297486242796,"95AA05W1"
"8",13.6988956301346,"95AA06S1"
"9",14.0321842844433,"95AA06S2"
"10",13.8872182477612,"95AA07W1"
"11",32.7772749396025,"95AA08W1"
"12",23.0345683922627,"95AA09W1"
"13",25.4195449543285,"95AA10W1"
"14",10.382590725274,"95AA11S1"
"15",5.69024767916327,"95AA11S2"
"16",8.95421142163644,"95AA12W1"
"17",11.2976314440073,"95AA13S1"
"18",10.2836706605107,"95AA13S2"
"19",12.6473593505469,"95AA14W1"
"20",12.0765296981763,"95AA15S1"
"21",27.3284370803194,"95AA15S2"
"22",24.5298939289465,"95AA16W1"
"23",19.3258694418612,"95AA17W1"
"24",7.37159212384247,"95AA18W1"
"25",18.752896337532,"95AA19W1"
"26",7.74109123463577,"95BB01S1"
"27",9.07919825099539,"95BB01S2"
"28",27.9131561212342,"95BB02W1"
"29",28.7912468718292,"95BB03S1"
"30",21.1771787952514,"95BB03S2"
"31",17.5838476480375,"95BB04S1"
"32",7.74879989274075,"95BB04S2"
"33",16.1653744833997,"95BB05S1"
"34",14.6336326648664,"95BB05S2"
"35",41.5453718027542,"95BB06W1"
"36",23.4048569934485,"95BB07S1"
"37",9.46034583478091,"95BB07S2"
"38",24.6885888614479,"95BB08S1"
"39",7.82456848019125,"95BB08S2"
"40",9.04110038701542,"95BB09S1"
"41",5.87198419635584,"95BB09S2"
"42",16.1525846350469,"95BB10S1"
"43",7.51086013362405,"95BB10S2"
"44",30.6978712361079,"95BB11S1"
"45",12.8585255204269,"95BB11S2"
"46",42.0260012681871,"95BB12S1"
"47",10.0538543324087,"95BB12S2"
"48",22.5933175714021,"95BB13S1"
"49",22.3830138682204,"95BB13S2"
"50",8.38260002685097,"95BB13S3"
"51",14.0267328397996,"95BB14S1"
"52",8.44924196054184,"95BB14S2"
"53",18.2871372774553,"95BB15S1"
"54",26.6921235687366,"95BB15S2"
"55",6.94123687577823,"95BB16S1"
"56",9.16820760663957,"95BB16S2"
"57",16.2961941944764,"95BB17S1"
"58",15.5107402206298,"95BB17S2"
"59",24.5950779192456,"95BB18S1"
"60",11.6684302553235,"95BB18S2"
"61",15.4145114767519,"95BB19S1"
"62",7.19172144069405,"95BB19S2"
"63",4.4317274875486,"95BB19S3"
"64",20.1446487780378,"95BB20S1"
"65",29.028797910101,"95BB20S2"
"66",28.7748853249783,"95BB21S1"
"67",17.3787594694486,"95BB21S2"
"68",28.5822691956547,"95BB22S1"
"69",46.599019809219,"95BB22S2"
"70",5.65443266993095,"95BB23S1"
"71",4.92340317133843,"95BB23S2"
"72",18.9831808975154,"95CC01W1"
"73",16.4723151580453,"95CC02W1"
"74",48.7083000741673,"95CC03W1"
"75",25.7718267649834,"95CC04W1"
"76",20.0799471323397,"95CC05W1"
"77",8.47480729083213,"95CC06S1"
"78",15.5265573658873,"95CC06S2"
"79",29.6741101376861,"95CC07W1"
"80",25.1660932794294,"95CC08W1"
"81",10.8151870929869,"95CC09S1"
"82",11.0697355097835,"95CC09S2"
"83",10.1052683491563,"95CC10W1"
"84",37.9823008912469,"95CC11W1"
"85",18.3907554385051,"95CC12W1"
"86",18.8091432694414,"95CC13W1"
"87",13.1016266415,"95CC14W1"
"88",16.1788984397715,"95CC15W1"
