"","geography_code","obs_value"
"193","E01000197",62.5
"194","E01000198",44.5833333333333
"195","E01000199",21.25
"196","E01000200",45.4166666666667
"197","E01000201",11.6666666666667
"198","E01000202",38.75
"199","E01000203",92.0833333333333
"200","E01000204",41.25
"201","E01000205",17.9166666666667
"202","E01000206",10
"203","E01000207",27.9166666666667
"204","E01000208",21.6666666666667
"205","E01000209",13.3333333333333
"206","E01000210",20.4166666666667
"207","E01000211",88.75
"208","E01000212",20.4166666666667
"209","E01000213",10
"210","E01000214",33.75
"211","E01000215",42.5
"212","E01000216",42.5
"213","E01000217",46.6666666666667
"214","E01000218",47.0833333333333
"215","E01000219",85.4166666666667
"216","E01000220",67.9166666666667
"217","E01000221",82.0833333333333
"218","E01000222",87.0833333333333
"219","E01000223",97.0833333333333
"220","E01000224",70.8333333333333
"221","E01000225",30
"222","E01000226",81.6666666666667
"223","E01000227",25
"224","E01000228",30.4166666666667
"225","E01000229",49.1666666666667
"226","E01000230",34.5833333333333
"227","E01000231",50.8333333333333
"228","E01000232",37.9166666666667
"229","E01000233",39.5833333333333
"230","E01000234",35.4166666666667
"231","E01000235",86.25
"232","E01000236",58.3333333333333
"233","E01000237",78.75
"234","E01000238",59.5833333333333
"235","E01000239",87.5
"236","E01000240",57.0833333333333
"237","E01000241",52.0833333333333
"238","E01000242",32.5
"239","E01000243",88.3333333333333
"240","E01000244",77.5
"241","E01000245",108.333333333333
"242","E01000246",24.1666666666667
"243","E01000247",42.5
"244","E01000248",22.9166666666667
"245","E01000249",17.9166666666667
"246","E01000250",59.5833333333333
"247","E01000251",65.4166666666667
"248","E01000252",35.4166666666667
"249","E01000253",27.0833333333333
"250","E01000254",12.9166666666667
"251","E01000255",33.3333333333333
"252","E01000256",36.25
"253","E01000257",64.1666666666667
"254","E01000258",33.3333333333333
"255","E01000259",57.5
"256","E01000260",71.25
"257","E01000261",19.1666666666667
"258","E01000262",56.6666666666667
"259","E01000263",13.3333333333333
"260","E01000264",77.0833333333333
"261","E01000265",65.8333333333333
"262","E01000266",15.8333333333333
"263","E01000267",24.1666666666667
"264","E01000268",111.25
"265","E01000269",27.9166666666667
"266","E01000270",22.0833333333333
"267","E01000271",22.0833333333333
"268","E01000272",11.6666666666667
"269","E01000273",43.3333333333333
"270","E01000274",61.6666666666667
"271","E01000275",27.0833333333333
"272","E01000276",10
"273","E01000277",70.4166666666667
"274","E01000278",13.3333333333333
"275","E01000279",7.5
"276","E01000280",10.4166666666667
"277","E01000281",39.5833333333333
"278","E01000282",31.6666666666667
"279","E01000283",7.5
"280","E01000284",52.0833333333333
"281","E01000285",41.25
"282","E01000286",55.8333333333333
"283","E01000287",36.6666666666667
"284","E01000288",25
"285","E01000289",62.5
"286","E01000290",34.1666666666667
"287","E01000291",50
"288","E01000292",26.25
"289","E01000293",28.75
"290","E01000294",47.9166666666667
"291","E01000295",31.6666666666667
"292","E01000296",60.8333333333333
"293","E01000297",38.75
"294","E01000298",61.25
"295","E01000299",82.5
"296","E01000300",42.9166666666667
"297","E01000301",19.5833333333333
"298","E01000302",78.75
"299","E01000303",18.75
"300","E01000304",42.0833333333333
"301","E01000305",73.3333333333333
"302","E01000306",51.6666666666667
"303","E01000307",57.9166666666667
"304","E01000308",62.5
"305","E01000309",65
"306","E01000310",106.666666666667
"307","E01000311",45
"308","E01000312",70.4166666666667
"309","E01000313",87.9166666666667
"310","E01000314",70.4166666666667
"311","E01000315",76.25
"312","E01000316",74.5833333333333
"313","E01000317",43.3333333333333
"314","E01000318",35.4166666666667
"315","E01000319",25.4166666666667
"316","E01000320",54.1666666666667
"317","E01000321",80.4166666666667
"318","E01000322",50
"319","E01000323",90
"320","E01000324",38.3333333333333
